epoch,count,committers,files
18220,2,1,1
18242,2,2,5
18246,9,2,21
18252,1,1,0
18253,1,1,7
18267,2,2,0
18274,3,1,3
18281,1,1,4
18288,1,1,733
18289,4,2,2137
18292,2,1,1058
18296,2,1,741
18304,3,3,7
18308,2,1,208
18311,11,4,224
18315,5,2,202
18327,4,1,6
18329,4,1,5
18330,4,2,216
18331,1,1,11
18334,12,1,451
18344,1,1,2
18345,2,1,199
18347,3,2,204
18352,1,1,1
18353,1,1,3
18354,3,1,6
18359,6,1,8
18368,3,1,12
18371,1,1,218
18372,6,2,235
18375,3,2,12
18376,1,1,11
18387,17,3,455
18388,11,3,230
18389,8,3,227
18394,2,1,11
18395,5,1,21
18396,4,3,3
18400,1,1,2
18401,3,2,51
18402,2,1,50
18408,2,2,1
18409,4,2,1
18410,4,2,2
18414,43,1,3492
18417,7,2,27
18418,2,1,8
18420,2,1,199
18425,1,1,199
18427,2,1,207
18429,1,1,208
18430,2,1,5
18439,4,1,1
18440,6,1,11
18441,1,1,11
18443,3,2,60
18446,1,1,199
18450,1,1,199
18452,5,2,4
18453,1,1,5
18455,3,2,9
18457,15,3,37
18458,4,2,1
18459,8,5,79
18462,1,1,244
18464,4,4,286
18466,1,1,44
18467,11,4,13
18471,11,3,49
18478,4,1,6
18479,1,1,5
18480,6,1,7
18483,9,2,13
18484,4,1,5
18497,6,1,5
18498,5,2,9
18500,5,3,16
18501,6,2,2
18505,4,2,31
18506,5,2,26
18508,3,1,2
18509,9,3,39
18511,10,2,8
18521,1,1,0
18522,8,2,49
18528,1,1,49
18542,2,1,0
18543,1,1,0
18551,6,1,2
18562,3,1,2
18564,5,2,3
18565,6,1,52
18587,1,1,52
18591,2,2,52
18612,1,1,443
18637,1,1,393
18640,3,2,53
18652,1,1,2
18655,1,1,63
18662,1,1,14
18674,1,1,3
18675,1,1,393
18680,3,1,6
18683,1,1,3
18696,1,1,0
18716,3,1,3
18717,4,1,8
18724,2,2,5
18726,1,1,2
18730,3,3,5
18736,4,3,6
18746,3,1,4
18751,2,2,3
18753,1,1,1
18754,2,1,2
18761,3,2,3
18766,3,1,5
18773,4,2,17
18779,1,1,15
18780,1,1,2
18781,2,1,3
18782,1,1,0
18787,1,1,12
18802,5,2,28
18806,1,1,27
18807,1,1,0
18809,2,2,5
18810,1,1,5
18815,1,1,2
18816,3,1,1
18821,1,1,0
18823,1,1,24
18827,2,1,3
18829,1,1,1
18830,2,2,51
18834,3,1,53
18842,3,2,4
18843,2,1,10
18844,4,2,23
18850,2,1,33
18854,2,1,40
18857,4,2,21
18858,2,1,0
18864,1,1,0
18865,1,1,30
18871,2,1,31
18887,5,2,4
18888,3,1,1
18890,2,2,32
18892,6,1,9
18899,1,1,0
18900,3,1,1
18905,1,1,0
18907,1,1,1
18913,6,1,6
18918,1,1,2
18920,7,3,8
18927,1,1,1
18928,4,1,3
18935,2,1,18
18938,3,1,8
18939,4,1,37
18954,1,1,0
19010,1,1,1
19011,2,1,0
19019,1,1,0
19023,1,1,3
19039,3,2,6
19041,1,1,2
19087,1,1,2
19108,2,1,3
19109,1,1,1
19110,2,1,0
19117,2,1,28
19131,1,1,1
19145,4,2,6
19151,4,2,3
19152,1,1,4
19153,1,1,0
19163,1,1,1
19165,2,2,4
19172,2,1,7
19173,2,1,1
19177,4,1,65
19178,3,1,6
19179,1,1,1
19180,2,1,0
19190,2,1,12
19193,1,1,13
19194,3,1,13
19200,1,1,12
19201,2,1,16
19205,1,1,23
19206,6,1,28
19207,4,2,8
19208,2,1,10
19212,4,2,10
19216,1,1,1
19218,2,2,11
19219,2,1,11
19221,1,1,1
19222,2,1,0
19229,2,1,1
19247,1,1,0
19250,2,1,4
19251,2,1,4
19253,1,1,0
19257,1,1,0
19261,1,1,6
19264,1,1,6
19269,1,1,4
19278,5,1,11
19283,1,1,17
19285,1,1,9
19291,2,1,6
19299,1,1,7
19305,1,1,2
19306,1,1,2
19313,1,1,9
19319,2,1,14
19326,1,1,17
19327,5,2,28
19331,4,2,14
19341,4,2,2
19345,1,1,0
19346,10,1,42
19362,1,1,1
19363,1,1,17
19366,1,1,21
19367,2,2,39
19368,1,1,19
19372,1,1,55
19373,1,1,15
19387,2,1,55
19389,2,1,6
19390,3,1,2
19395,1,1,2
19401,4,2,20
19403,6,2,25
19404,2,2,1
19408,10,4,18
19411,2,2,8
19418,7,1,17
19429,2,1,5
19430,3,2,11
19431,3,2,3
19432,2,1,0
19443,2,1,2
19444,2,1,3
19445,1,1,2
19446,3,1,2
19451,2,2,3
19459,1,1,1
19460,3,2,2
19464,2,2,2
19474,3,1,1
19479,1,1,0
19481,1,1,7
19506,1,1,12
19508,1,1,11
19515,3,1,11
19516,2,2,12
19521,4,3,12
19537,1,1,2
